#individual_index individual_rank segment_count deviation edge connectivity
117 0 23 347138.55816 197045.67768 2134.83333
118 0 33 326717.10395 220650.69763 2647.25000
119 0 10 892551.10288 40316.65311 737.50000
120 0 4 647158.71880 99196.44250 780.33333
121 0 2 588824.00685 120576.50985 823.50000
122 0 10 782024.67323 78524.05355 977.83333
123 0 6 871769.82194 68185.30031 649.50000
124 0 3 1082068.13931 1646.33677 66.00000
125 0 4 970875.51008 27904.95444 389.33333
126 0 13 356602.56987 193120.71943 1787.83333
127 0 16 354703.61972 197287.90608 1871.41667
128 0 25 347018.82596 200366.18422 2241.00000
129 0 20 351191.17684 194974.19728 1981.16667
130 0 4 539562.84367 120499.08221 914.33333
131 0 4 928907.78343 53142.80035 481.00000
132 0 2 1030586.19514 12645.91671 169.00000
133 0 6 687952.55196 97890.07543 803.66667
134 0 31 329184.80210 221217.49887 2576.25000
135 0 12 383501.11178 173187.32819 1580.33333
136 0 3 955985.15346 45981.94358 376.00000
137 0 3 617700.77630 105087.78308 794.66667
138 0 12 413737.88813 159945.56301 1431.75000
139 0 37 323207.76048 223792.81944 2814.58333
140 0 9 416345.51305 156428.92218 1368.00000
141 0 5 898455.09077 63066.20601 550.66667
142 0 25 341459.22454 204721.44926 2215.16667
143 0 9 394225.61510 167904.09578 1459.00000
144 0 3 918159.13939 61348.68866 485.00000
145 0 2 1048147.06127 11162.38928 129.83333
146 0 7 916106.12508 33169.28144 600.16667
147 0 37 324058.67683 229378.01524 2766.75000
148 0 4 530084.24545 128778.38136 983.00000
149 0 5 857192.98195 69200.56136 674.16667
150 0 4 594233.39629 109089.59302 874.83333
151 0 4 471602.94658 130045.15609 1029.33333
152 0 17 371125.52913 181488.67992 1791.50000
153 0 9 444971.56182 141784.33806 1253.83333
154 0 3 632580.08798 104509.81327 738.83333
155 0 21 351383.81346 199875.55701 1965.08333
156 0 6 448754.60849 139817.05972 1180.50000
157 0 4 1074069.07828 5162.47268 111.50000
158 0 5 980170.54435 31015.81904 330.08333
159 0 2 956287.22438 45742.97062 365.00000
160 0 4 480342.36256 128342.59034 1027.66667
161 0 6 448754.60849 139817.05972 1180.50000
162 0 6 898145.62702 63305.17897 561.66667
163 0 2 672918.36829 97891.66990 688.66667
164 0 15 352690.34163 192172.86894 1908.33333
165 0 6 940249.51283 30693.25181 543.41667
166 0 5 727503.33689 90975.23605 953.83333
167 0 19 349466.24262 196360.20330 2004.83333
168 0 5 516757.15471 129723.22928 972.66667
169 0 4 551824.23640 120156.07707 869.83333
170 0 6 497845.97852 126980.17815 1154.33333
171 0 7 515380.12959 124112.19941 1129.00000
172 0 5 885883.31123 66294.61173 577.16667
173 0 13 833763.19003 59894.40432 929.83333
174 0 34 328259.11215 215960.90623 2669.75000
175 0 2 1085168.24439 238.97296 11.00000
176 0 5 582668.41648 109890.97271 906.33333
177 0 4 645852.61203 99753.01852 792.08333
178 0 5 695808.46485 96559.47662 859.33333
179 0 45 319223.30812 236344.85353 3060.41667
180 0 8 511049.97565 125730.01814 1214.66667
181 0 13 384741.95964 172857.10969 1564.41667
182 0 5 922651.81830 48354.39912 537.00000
183 0 6 821020.07724 69402.84110 790.50000
184 0 5 707155.68109 94985.69892 851.25000
185 0 5 480129.77708 128979.51657 1050.16667
186 0 9 433912.45050 147189.61762 1238.58333
187 0 5 699806.71639 96419.53209 846.41667
188 0 3 985978.64598 24810.11206 391.66667
189 0 6 497845.97852 126980.17815 1154.33333
190 0 4 924189.52866 30982.04089 510.50000
191 0 4 551824.23640 120156.07707 869.83333
192 0 10 432967.55528 147635.20899 1283.75000
193 0 9 426382.15529 148044.60440 1274.50000
194 0 2 768602.55932 81436.72971 639.83333
195 0 17 354591.35337 197924.83230 1893.91667
196 0 5 732008.89720 88893.67535 825.33333
197 0 5 537622.19300 125385.86794 898.91667
198 0 46 319142.38382 236604.10263 3076.58333
199 0 3 921323.52032 52198.30037 500.33333
