#individual_index individual_rank segment_count deviation connectivity
180 0 4 898457.75043 580.16667
181 0 8 430465.09070 1247.66667
182 0 2 1069063.75374 115.16667
183 0 2 632637.25605 727.83333
184 0 27 337481.87657 2206.66667
185 0 7 987401.82671 337.50000
186 0 5 906080.26835 541.50000
187 0 3 610129.68367 801.83333
188 0 16 352229.45230 1846.66667
189 0 4 593104.76525 821.16667
190 0 2 1069063.75374 115.16667
191 0 3 899072.57474 560.83333
192 0 32 334238.64660 2336.16667
193 0 9 368858.10548 1565.66667
194 0 36 331293.42993 2501.66667
195 0 4 506028.77174 960.16667
196 0 16 352229.45230 1846.66667
197 0 4 988846.13720 311.33333
198 0 25 339491.46420 2097.33333
199 0 30 333619.34245 2399.33333
